Signature,Verify
127790,63774
63108,50882
61606,50390
86027,50214
60891,49963
73719,49881
90570,50198
61046,50079
129649,51019
62799,52011
95221,50460
94215,51103
163947,50408
171808,50227
60733,49895
125568,51114
62656,51116
60996,49860
200749,50491
77549,50029
89269,51019
135115,50044
74574,50036
74635,50123
117481,53207
62332,51095
80235,50129
175600,49909
138941,50048
118887,51112
93192,51852
117391,49854
89511,50252
108517,49927
89359,51237
76341,51049
75902,50020
61186,50370
63008,51305
171465,51384
133394,49788
60531,49958
206696,50321
106510,51017
118551,51411
121769,50037
141610,49905
146630,50564
175137,51564
60728,50246
61184,50338
129832,49895
92682,51242
237378,49940
61090,50036
112611,49688
121451,51190
75730,51027
88620,49981
60819,50035
76144,49994
62644,53097
79770,53012
63387,49709
61054,50013
60684,49865
177873,50214
74080,50124
127042,50032
74520,50003
89440,50413
60558,49847
78125,50016
61152,50251
89103,49848
74129,49974
111460,49888
185612,50049
61021,50275
134844,49948
60781,50019
100391,49920
99458,49992
105568,49709
180477,49930
158477,50014
86805,50304
131154,50016
60790,49960
103258,49982
76653,50454
237775,49860
77682,50303
61145,49755
93700,51467
108034,51172
61202,50075
75170,51244
62541,51416
102932,50002
61057,50004
60960,50085
75273,50083
120451,49993
61020,50066
61011,50023
90252,50020
162561,50117
220319,50100
75582,50063
78126,50271
61327,50046
98143,49906
113837,50036
60987,50252
60842,49967
141700,50157
108934,49999
148945,50170
87091,50372
108930,49967
74124,50270
130410,49919
122619,49838
88393,49880
184646,49974
73484,49967
140865,50089
89746,50127
90535,50174
61297,49991
60990,50134
60829,49864
72575,49824
253596,49911
60849,49967
61059,49988
203222,49805
60909,50016
145332,49783
90165,50302
94314,50166
161033,50094
155080,50081
116050,49944
75137,49832
60752,49835
73486,49953
152668,50264
78185,49860
60871,49710
89584,49988
61125,49932
60923,51756
73887,49907
151011,49935
61082,49988
116882,50261
170331,49857
109605,50206
76534,49866
181657,49780
254579,50404
100513,49933
74409,50268
89939,50249
127518,51343
116423,50227
60701,50075
115250,50264
89837,49912
91553,53807
61261,50812
76050,52313
60855,49900
87374,50063
88028,49883
140466,49835
60910,49818
97070,50277
89247,49982
156551,50930
78127,49839
60697,49906
108677,50051
87200,49767
198401,49954
60921,49958
72738,49906
74832,50010
168730,49952
89510,50001
73014,49873
74558,49877
170081,50198
61111,50112
88319,50024
90479,50120
127420,49934
144775,50251
123751,53921
117515,50012
106918,49914
143749,49901
88469,49977
114423,50046
74496,50297
112309,50196
105287,50095
60967,50064
62181,49824
101607,49989
142159,50057
60955,50167
112617,49844
61959,50091
75833,49930
90843,50064
72804,49875
89238,50009
86730,51132
74544,50160
126739,49881
86695,49975
135143,50095
62170,50070
75548,50114
89570,49878
73947,49980
101445,50169
132538,49845
72757,49974
61168,49904
217072,50173
61202,49897
62211,50003
75172,50078
60606,50126
202157,50297
60767,50102
204327,50867
114243,50059
86861,50106
73637,49999
112560,51361
74787,50218
61005,49971
113707,49814
77766,50038
60972,49833
105538,49810
61112,49930
72625,49997
60762,49772
76062,50137
102415,50022
109252,49954
172688,50008
60926,50060
120766,49900
92079,50101
60962,49881
61145,49899
61161,49889
76865,49791
60953,51266
89339,50558
60993,49790
61186,50099
60901,50121
112086,49804
90603,50052
103047,49860
171021,50005
74465,50268
73504,51113
88864,50029
87508,49859
119524,50021
89548,49852
152969,50173
73844,50051
60736,49828
72562,49978
74162,49848
60939,49869
87609,49810
137590,50157
60993,50018
60687,50271
98176,49751
139037,49973
134231,50170
86678,49783
61052,49885
183714,49916
73051,49977
89917,49989
125852,50221
99103,50108
63521,50072
75269,50192
220441,49863
102445,49945
61072,50096
171219,50084
74330,50015
60669,49766
61167,50123
93451,49831
199512,50380
60935,49952
104813,50150
73394,49965
124038,51365
101255,50076
86310,50242
130017,49895
202021,49932
144308,49982
158360,50373
157335,50013
261559,50183
207669,50056
149150,49942
60584,49782
62293,49885
