Signature,Verify
42840143,1301491
42601248,1312026
42580658,1290853
42567856,1322735
42590638,1318332
42584115,1321471
42579705,1325126
42582593,1295799
42586538,1307552
42554696,1338485
42576614,1302231
42577572,1291073
42580196,1294771
42673684,1329939
42653012,1314124
42574618,1314224
42578515,1267512
42572964,1277948
42594199,1317811
42610131,1283431
42680577,1308245
42613033,1308405
42599097,1337042
42587103,1280861
42574988,1272164
42578185,1324211
42675153,1307098
42589278,1324447
42605250,1303318
42573765,1245727
42572536,1298379
42582078,1306879
42569466,1281096
42613392,1300881
42589863,1300309
42586039,1316339
42586511,1311283
42568455,1325546
42600841,1282434
42652077,1345958
42599947,1327982
42570491,1310051
42602752,1294106
42603860,1292299
42582922,1302346
42574300,1297469
42560480,1332472
42581888,1280531
42578355,1285783
42583255,1290391
42587729,1304287
42598489,1280245
42656582,1278041
42582967,1306681
42577092,1296429
42570823,1334671
42636337,1288981
42609487,1286991
42587779,1334374
42585354,1325578
42581849,1263458
42615852,1311258
42594793,1304981
42607474,1280072
42587414,1311737
42602630,1284991
42630233,1310655
42595501,1306736
42586561,1301867
42589074,1296094
42561454,1284231
42631014,1357720
42576729,1287612
42589745,1302206
42598491,1296388
42574284,1290721
42567170,1292915
42563584,1319356
42628538,1296164
42588298,1339439
42566821,1293868
42565115,1280656
42589045,1312183
42580070,1309094
42588972,1296524
42590959,1299804
42576453,1304866
42562378,1323775
42574845,1314492
42579316,1297853
42578189,1286647
42644887,1336918
42570972,1307896
42615135,1314456
42571008,1333534
42607116,1310263
42561221,1285370
42562993,1298983
42570588,1308697
42567283,1324835
42571199,1299576
42560956,1288149
42566215,1307809
42567884,1298478
42624815,1293232
42578401,1308029
42588170,1307467
42621466,1294896
42588572,1313910
42578973,1294629
42599307,1286714
42562780,1287369
42567465,1289762
42596636,1236966
42573341,1286048
42580324,1322219
42576430,1267781
42661938,1325262
42609213,1323351
42586961,1343560
42615477,1318949
42598241,1309068
42576015,1312339
42577543,1288469
42576641,1309129
42579525,1304068
42577655,1343250
42634129,1331886
42632378,1294884
42600210,1292935
42660755,1298748
42596814,1351527
42610753,1342089
42592982,1331846
42582935,1328723
42587284,1297476
42585563,1330569
42577421,1300692
42584889,1334456
42589020,1283607
42567851,1279808
42594419,1291767
42571798,1286174
42627472,1326481
42595291,1289242
42612779,1319026
42574206,1318117
42584190,1295728
42579881,1297114
42580351,1298396
42570036,1311088
42576052,1282717
42571339,1298158
42567578,1298191
42573014,1322455
42564958,1335947
42620942,1299296
42601518,1293687
42587108,1308816
42587379,1316044
42597028,1301197
42579426,1283016
42571357,1335484
42581778,1318646
42570845,1305113
42561946,1315743
42572676,1272505
42582451,1294762
42581281,1325713
42640092,1316920
42583513,1331520
42602413,1266842
42595024,1328787
42594168,1320232
42582299,1323525
42573680,1324574
42578422,1282073
42561003,1312526
42608471,1320753
42572556,1314255
42562756,1288149
42576847,1299314
42624729,1313459
42595616,1309267
42596563,1317607
42581297,1345798
42567240,1312876
42563459,1298364
42574283,1310430
42586936,1317941
42570841,1310047
42578926,1314703
42582140,1313056
42578733,1265733
42569301,1289177
42593627,1312875
42616448,1279116
42589189,1297673
42579128,1283946
42594249,1283254
42604667,1338010
42578495,1319746
42585793,1322465
42577861,1319863
42592768,1300579
42584348,1296243
42574212,1329251
42585411,1300376
42557797,1293975
42649229,1329642
42602847,1306703
42582917,1295457
42556937,1267045
42570250,1282011
42567299,1328856
42563364,1311961
42576242,1317853
42569093,1339382
42579187,1303661
42570763,1321856
42568750,1290479
42572237,1309271
42658500,1316187
42633022,1315452
42608660,1321894
42594492,1301029
42572577,1275729
42561359,1266066
42593342,1266016
42574986,1322069
42583759,1325513
42573717,1293211
42565009,1300048
42568682,1301338
42567506,1278724
42617081,1308373
42575670,1307678
42580246,1268622
42579977,1304955
42568084,1302919
42571249,1307628
42583667,1312451
42574656,1302474
42569978,1317987
42578322,1297857
42601759,1307764
42587188,1293050
42583700,1321923
42574160,1279972
42570346,1268119
42566508,1292517
42574774,1298932
42581279,1321605
42573635,1280385
42566659,1306266
42559021,1310378
42577171,1312682
42579597,1331963
42608692,1312800
42572453,1316767
42574090,1310341
42563919,1317876
42560637,1311954
42584170,1286052
42563752,1285697
42568826,1278557
42570471,1263638
42611355,1308381
42591282,1324156
42571631,1301663
42569189,1298961
42585333,1282861
42559598,1273947
42581456,1283066
42565040,1289220
42565613,1305677
42569038,1299286
42558850,1285619
42571099,1302677
42560983,1311575
42594387,1320452
42575093,1283754
42569044,1299318
42570237,1292347
42574252,1286679
42605613,1295740
42574108,1307605
42575172,1303627
42581518,1319369
